,corrientes,esteros del ibera,parque nacional ibera,parque nacional mburucuya,parque provincial ibera,reserva provincial ibera,scale
02-15,0.02680703306202598,0.04630005879671979,0.162717500185951,0.0,0.37948731510233624,0.12662712626167727,12.5
02-28,0.003472891336954945,0.005442195422782329,0.017708581844502014,0.0,0.0653294455297196,0.013926980475129018,12.5
03-15,0.04013797043317287,0.048356807166521194,0.1532046758485631,0.0,0.3126538295168311,0.10449305429903898,12.5
03-30,0.2908561737465684,0.30205699976502914,0.6800273332995475,0.0,0.7287219554083673,0.5193935268724992,12.5
04-15,0.5828991785319891,0.5885943328400328,0.9322585690513996,0.0780929647423085,0.8791141384931368,0.8134037578546369,12.5
04-30,0.6951577463427239,0.7175660531113591,0.9607838922469035,0.16597723551948032,0.8842588322493659,0.8586787567495087,12.5
05-15,0.6831344919146676,0.7016726396449411,0.9495664556289992,0.13077180708531005,0.8699500567491938,0.8327300904881387,12.5
05-30,0.670989524403443,0.7096750070684681,0.9588994614210153,0.13077180708531005,0.8407107268639641,0.8399816414273673,12.5
06-15,0.5804206298828634,0.6305994274699042,0.9387944273771089,0.13077180708531005,0.842661667782574,0.8161156642606706,12.5
nbr,1.0,1.0,1.0,1.0,1.0,1.0,1.0
